di	sease	Group	PKM2	LDHA	LCP1	ACSF2	MECP2	ARF1	MSN	CTNNB1
ND	_82_02-04	0	9.079212051	11.24935057	7.763829322	6.773883751	6.68955127	10.83783578	8.539384544	7.00998758
ND	_83_02-12	0	8.765932399	9.862435389	7.678199209	7.336690452	6.227759875	10.63512303	8.324939357	7.099492659
ND	_84_00-53	0	8.800361826	11.17742553	9.371686215	6.76953394	6.720861259	10.73514409	8.970036814	7.177632311
ND	_85_01-36	0	8.694138861	9.318567426	7.812511138	7.745027409	6.276077623	10.53839508	8.720922592	6.816740169
ND	_86_00-38	0	9.088655806	11.52559436	8.034388296	6.610890422	6.765864819	10.86526142	8.295868371	7.450107928
ND	_87_03-11	0	8.604116841	9.95616743	8.518618106	7.658215866	6.262541431	10.40226119	9.035298916	6.994386916
ND	_88_03-47	0	8.922532001	11.46091529	7.954799286	6.621392886	6.906831384	10.60031451	8.112091538	7.535209146
ND	_89_04-05	0	8.756615713	11.13699876	8.318232411	6.733290271	6.773311688	10.6989579	8.640107681	7.839408955
ND	_90_99-31	0	8.903530498	11.53853079	7.868800262	6.589244628	6.863786926	10.8463769	8.179091269	8.014096965
ND	_91_02-06	0	8.395765169	10.48379843	8.073682097	7.679973905	6.37220228	10.4160244	9.327570065	7.245908004
ND	_92_02-08	0	8.616271092	11.48185089	8.760687226	7.207060298	6.391488441	10.56203168	9.345291004	7.732752102
ND	_93_03-58	0	8.687178208	10.79894354	8.631007882	6.908545719	6.646269435	10.68904285	8.757412541	7.286917226
ND	_94_99-58	0	8.982132683	10.41498803	7.128035415	7.328290171	6.337684555	10.86526142	8.522166706	6.919293336
ND	_95_03-66	0	8.623891941	11.39674071	8.281087678	6.602414737	6.689761489	10.66573019	8.542265281	7.543859357
AD	_96_02-41	1	8.238949138	9.724749476	8.834482352	7.643789138	6.331569471	10.24192722	9.293564181	6.90190508
AD	_97_03-04	1	8.71002175	9.881875613	7.601249192	7.64075801	6.517231549	10.4012395	9.09546049	6.77348971
AD	_98_02-28	1	8.487013639	9.586298496	7.945416768	8.108821937	6.246589115	10.17393378	9.599467071	7.023932615
AD	_99_03-18	1	8.420703207	10.61662814	9.165194158	7.585649356	6.256936884	10.18510723	9.202984163	6.942879586
AD	_100_03-21	1	8.334129714	9.481887284	8.014971209	7.867673608	6.417373754	10.24827583	9.123942039	6.971551827
AD	_101_03-27	1	8.291844227	11.49589524	8.806831628	7.082493259	6.484912447	10.47447584	10.58204232	7.539003297
AD	_102_01-45	1	8.363563188	9.136449802	7.817760793	7.960877918	6.392994664	9.97089676	9.562326081	6.925980804
AD	_103_01-48	1	8.498629092	9.471658256	7.375469594	7.543448087	6.385059875	10.595607	8.8625094	6.876719041
AD	_104_01-53	1	8.178486417	9.643661319	8.773691938	8.054628529	6.221039766	9.938828656	9.361030389	6.797693503
AD	_105_08-45	1	9.077587002	11.04216759	8.22080761	6.916630443	6.738879041	10.74512248	8.501997298	7.286370303
AD	_106_08-20	1	8.91138642	12.029523	7.472747159	6.691306237	6.689661177	10.71193279	8.059254302	8.41379984
AD	_107_07-50	1	8.665534512	11.45045913	8.172553299	6.767541406	6.69542457	10.62477895	8.394572577	7.357992314
AD	_108_07-69	1	10.5877658	11.54752295	8.993033305	7.374485686	7.048532181	10.595607	9.9911738	7.682615996
AD	_109_07-34	1	9.48808879	11.57428109	9.799359851	6.702881459	6.545660798	10.66090942	10.07654295	7.632577495
AD	_110_08-89	1	9.847866101	10.82465937	7.688789562	7.262000972	6.724400048	10.84902412	8.932984606	7.090036099
AD	_111_08-06	1	10.01972169	11.43810773	7.655172162	6.792859048	6.871621092	10.94841992	8.757602223	7.706952815
AD	_112_07-64	1	9.815828847	11.19486172	8.363377809	6.698690367	6.930717062	10.79349551	8.738126142	7.729774789
AD	_113_07-57	1	9.822322993	11.20513111	8.212390039	7.240607719	6.756547972	10.64799963	9.522830589	7.846214504
AD	_114_08-05	1	9.833798338	11.39889245	8.715044829	6.744224512	6.968466959	10.77286115	8.853070548	7.488102067
AD	_115_07-54	1	10.55956226	10.36325446	8.053200167	7.759066974	7.323576857	10.11254907	10.08979569	7.603635568
AD	_116_07-21	1	9.584538264	11.77588044	10.76394501	7.528757801	6.342564948	9.853840239	10.14191395	7.689143217
